"가구규모별(1)",2008,2011,2011,2011,2011,2011,2011,2014,2014,2014,2014,2014,2014,2017,2017,2017,2017,2017,2017
"가구규모별(1)",계,계,계,장애인가구,장애인가구,비장애인가구,비장애인가구,계,계,장애인가구,장애인가구,비장애인가구,비장애인가구,계,계,장애인가구,장애인가구,비장애인가구,비장애인가구
"가구규모별(1)",구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%),추정수 (가구),구성비 (%)
"계",100.0,17574018,100.0,2442442,100.0,15131576,100.0,18206328,100.0,2834279,100.0,15372049,100.0,19284671,100.0,3068974,100.0,16215697,100.0
"평균가구원수 (명)",3.00,-,2.78,-,2.78,-,2.78,-,2.58,-,2.55,-,2.59,-,2.50,-,2.46,-,2.50
"1인 가구",14.8,3487110,19.8,424232,17.4,3062878,20.2,4706006,25.8,687652,24.3,4018354,26.1,5381719,27.9,811051,26.4,4570668,28.2
"2인 가구",31.3,4566224,26.0,810668,33.2,3755556,24.8,4682640,25.7,931807,32.9,3750833,24.4,5112485,26.5,1037295,33.8,4075190,25.1
"3인 가구",19.6,3685485,21.0,498618,20.4,3186867,21.1,3894613,21.4,549602,19.4,3345011,21.8,4130408,21.4,588712,19.2,3541696,21.8
"4인 가구",19.8,4445352,25.3,418567,17.1,4026785,26.6,3679606,20.2,400904,14.1,3278702,21.3,3492978,18.1,370758,12.1,3122220,19.3
"5인 가구",9.0,1071598,6.1,193827,7.9,877771,5.8,965090,5.3,173733,6.1,791357,5.1,898033,4.7,169849,5.5,728184,4.5
"6인 가구",4.2,252251,1.4,71513,2.9,180738,1.2,226846,1.2,71266,2.5,155580,1.0,214946,1.1,71851,2.3,143095,0.9
"7인 이상 가구",1.3,65998,0.4,25017,1.0,40981,0.3,51527,0.3,19315,0.7,32212,0.2,54102,0.3,19458,0.6,34644,0.2
